2-(1,3-BENZODIOXOL-5-YL)-5-[(3-FLUORO-4-METHOXYBENZYL)SULFANYL]-1,3,4-OXADIAZOLE	GSK3B
MAZINDOL	SLC18A2
MAZINDOL	SLC6A4
MAZINDOL	SLC6A2
MAZINDOL	SLC6A3
ENALAPRIL	ACE
ALVOCIDIB	PYGB
ALVOCIDIB	CDK7
ALVOCIDIB	CDK8
ALVOCIDIB	CDK1
ALVOCIDIB	EGFR
ALVOCIDIB	CDK2
ALVOCIDIB	PYGM
ALVOCIDIB	CDK5
ALVOCIDIB	CDK9
ALVOCIDIB	CDK4
ALVOCIDIB	CDK6
ALVOCIDIB	PYGL
SUCRALFATE	FGG
SUCRALFATE	EGF
SUCRALFATE	FGB
SUCRALFATE	FGA
SUCRALFATE	FGF2
CANDOXATRIL	MME
CANDOXATRIL	ACE
{(2Z)-3-[(6-CHLOROPYRIDIN-3-YL)METHYL]-1,3-THIAZOLIDIN-2-YLIDENE}CYANAMIDE	CHRFAM7A
N-({(2S)-1-[(3R)-3-AMINO-4-(3-CHLOROPHENYL)BUTANOYL]PYRROLIDIN-2-YL}METHYL)-3-(METHYLSULFONYL)BENZAMIDE	DPP4
N-[4-(2-CHLOROPHENYL)-1,3-DIOXO-1,2,3,6-TETRAHYDROPYRROLO[3,4-C]CARBAZOL-9-YL]FORMAMIDE	WEE1
APREMILAST	PDE4A
APREMILAST	PDE4B
APREMILAST	IL2
APREMILAST	PDE4D
APREMILAST	IFNG
APREMILAST	NOS3
APREMILAST	TNF
IBRITUMOMAB TIUXETAN	C1QB
IBRITUMOMAB TIUXETAN	FCGR3B
IBRITUMOMAB TIUXETAN	C1S
IBRITUMOMAB TIUXETAN	MS4A1
IBRITUMOMAB TIUXETAN	FCGR2C
IBRITUMOMAB TIUXETAN	FCGR1A
IBRITUMOMAB TIUXETAN	FCGR2B
IBRITUMOMAB TIUXETAN	C1QA
IBRITUMOMAB TIUXETAN	FCGR2A
IBRITUMOMAB TIUXETAN	FCGR3A
IBRITUMOMAB TIUXETAN	C1QC
IBRITUMOMAB TIUXETAN	C1R
6-(N-PHENYLCARBAMYL)-2-NAPHTHALENECARBOXAMIDINE	PLAU
2,3,-DIHYDROXYBENZOYLSERINE	LCN2
CETILISTAT	PNLIP
S,S-(1,3-PHENYLENE-BIS(1,2-ETHANEDIYL))BIS-ISOTHIOUREA	NOS3
LASOFOXIFENE	ESR2
LASOFOXIFENE	CNR2
LASOFOXIFENE	ESR1
DRONABINOL	CNR1
DRONABINOL	CNR2
PYRIDOSTIGMINE	ALB
PYRIDOSTIGMINE	BCHE
PYRIDOSTIGMINE	ACHE
(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE	PKIA
(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE	PRKACA
PASCOLIZUMAB	IL4
LGD2941	AR
VERAPAMIL	CACNA1C
VERAPAMIL	CACNB1
VERAPAMIL	SLC6A4
VERAPAMIL	CACNA1F
VERAPAMIL	CACNA1I
VERAPAMIL	CACNA1S
VERAPAMIL	CACNA1G
VERAPAMIL	ADRA1A
VERAPAMIL	CACNB2
VERAPAMIL	CACNA1A
VERAPAMIL	CACNB3
VERAPAMIL	KCNH2
VERAPAMIL	ADRA1D
VERAPAMIL	CACNB4
VERAPAMIL	SCN5A
VERAPAMIL	CACNA1D
VERAPAMIL	KCNJ11
VERAPAMIL	ADRA1B
VERAPAMIL	CACNA1B
LIFITEGRAST	ITGAL
(2E)-3-(2-OCT-1-YN-1-YLPHENYL)ACRYLIC ACID	ALOX15
BAZEDOXIFENE	ESR2
BAZEDOXIFENE	ESR1
NESIRITIDE	NPR2
NESIRITIDE	NPR3
NESIRITIDE	NPR1
CHLOROPYRAMINE	HRH1
NOX-700	NFKB1
NOX-700	NFKB2
NOMIFENSINE	MAOB
NOMIFENSINE	MAOA
NOMIFENSINE	SLC6A3
NOMIFENSINE	MPO
NOMIFENSINE	SLC6A4
NOMIFENSINE	SLC6A2
NOMIFENSINE	SLC18A2
AMPHETAMINE	MAOB
AMPHETAMINE	SLC6A2
AMPHETAMINE	SLC6A4
AMPHETAMINE	DRD2
AMPHETAMINE	CARTPT
AMPHETAMINE	SLC6A3
AMPHETAMINE	TAAR1
AMPHETAMINE	SLC18A2
PROPYLTHIOURACIL	TPO
SEROTONIN	HTR2A
SEROTONIN	HTR3B
SEROTONIN	SLC18A2
SEROTONIN	HTR3A
SEROTONIN	SLC6A4
PHOSPHATIDYLETHANOLAMINE	PROCR
PHOSPHATIDYLETHANOLAMINE	PTEN
[{2-BROMO-4-[(2R)-3-OXO-2,3-DIPHENYLPROPYL]PHENYL}(DIFLUORO)METHYL]PHOSPHONIC ACID	PTPN1
PYRUVALDEHYDE	PLA2G1B
ALENDRONIC ACID	ATP6V1A
ALENDRONIC ACID	PTPRE
ALENDRONIC ACID	PTPN4
ALENDRONIC ACID	FDPS
ALENDRONIC ACID	PTPRS
ADALIMUMAB	C1QB
ADALIMUMAB	FCGR3B
ADALIMUMAB	C1S
ADALIMUMAB	FCGR2C
ADALIMUMAB	TNF
ADALIMUMAB	FCGR2B
ADALIMUMAB	C1QA
ADALIMUMAB	FCGR1A
ADALIMUMAB	FCGR3A
ADALIMUMAB	FCGR2A
ADALIMUMAB	C1R
ADALIMUMAB	C1QC
AGRO100	IKBKG
NXN-188	NOS1
NXN-188	HTR1B
NXN-188	HTR1D
D-NORLEUCINE	HNF1A
D-NORLEUCINE	PTH
D-NORLEUCINE	PAH
N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOXAZIN-4-YL]ETHYL}ACETAMIDE	REN
DIPRENORPHINE	TRIM13
DIPRENORPHINE	OPRD1
DIPRENORPHINE	OPRK1
DIPRENORPHINE	OPRM1
AMATUXIMAB	MSLN
SPERMIDINE	ADRB1
SPERMIDINE	ADRB2
